ij,wij
10, -0.534829
11, 0.438249
12, 0.610437
13, 0.210485
14, -0.556226
15, 0.460925
16, 0.420070
17, 0.864155
18, 1.010407
19, 0.270361
20, -0.026335
21, 0.035724
22, -0.658069
23, -0.663646
24, -0.359829
10, -0.534687
11, 0.438752
12, 0.610805
13, 0.210873
14, -0.556220
15, 0.461103
16, 0.420699
17, 0.864616
18, 1.010891
19, 0.270368
20, -0.025942
21, 0.037115
22, -0.657050
23, -0.662573
24, -0.359813
10, -0.535629
11, 0.438901
12, 0.611657
13, 0.212697
14, -0.556406
15, 0.460047
16, 0.420866
17, 0.865570
18, 1.012934
19, 0.270160
20, -0.027110
21, 0.037300
22, -0.655994
23, -0.660314
24, -0.360043
10, -0.536652
11, 0.438747
12, 0.611679
13, 0.211890
14, -0.556520
15, 0.459298
16, 0.420753
17, 0.865586
18, 1.012343
19, 0.270076
20, -0.028025
21, 0.037162
22, -0.655975
23, -0.661035
24, -0.360145
10, -0.536133
11, 0.439866
12, 0.611902
13, 0.212200
14, -0.556654
15, 0.459750
16, 0.421727
17, 0.865780
18, 1.012612
19, 0.269959
20, -0.028570
21, 0.035988
22, -0.656209
23, -0.661360
24, -0.360004
10, -0.537029
11, 0.440057
12, 0.612493
13, 0.214390
14, -0.556789
15, 0.459089
16, 0.421867
17, 0.866215
18, 1.014225
19, 0.269860
20, -0.029297
21, 0.036143
22, -0.655729
23, -0.659583
24, -0.360114
10, -0.538280
11, 0.439898
12, 0.612498
13, 0.214007
14, -0.556995
15, 0.457896
16, 0.421715
17, 0.866220
18, 1.013860
19, 0.269663
20, -0.030470
21, 0.035993
22, -0.655725
23, -0.659943
24, -0.360307
10, -0.538394
11, 0.439278
12, 0.612035
13, 0.213481
14, -0.557055
15, 0.457707
16, 0.420684
17, 0.865448
18, 1.012984
19, 0.269564
20, -0.030662
21, 0.034948
22, -0.656507
23, -0.660830
24, -0.360408
10, -0.538730
11, 0.439636
12, 0.615676
13, 0.217856
14, -0.557202
15, 0.457472
16, 0.420933
17, 0.867984
18, 1.016031
19, 0.269461
20, -0.031081
21, 0.035393
22, -0.651979
23, -0.655391
24, -0.360591
10, -0.540047
11, 0.439491
12, 0.615676
13, 0.217656
14, -0.557455
15, 0.456096
16, 0.420781
17, 0.867983
18, 1.015822
19, 0.269196
20, -0.032234
21, 0.035266
22, -0.651979
23, -0.655565
24, -0.360813
10, -0.539913
11, 0.440497
12, 0.616394
13, 0.218314
14, -0.557405
15, 0.456003
16, 0.420078
17, 0.867481
18, 1.015362
19, 0.269161
20, -0.032133
21, 0.036031
22, -0.651433
23, -0.655065
24, -0.360775
10, -0.540511
11, 0.440724
12, 0.617921
13, 0.222085
14, -0.557500
15, 0.455598
16, 0.420231
17, 0.868516
18, 1.017918
19, 0.269096
20, -0.032728
21, 0.036257
22, -0.649912
23, -0.651308
24, -0.360870
10, -0.541481
11, 0.440535
12, 0.617864
13, 0.221702
14, -0.557722
15, 0.453939
16, 0.419910
17, 0.868420
18, 1.017264
19, 0.268717
20, -0.034469
21, 0.035920
22, -0.650012
23, -0.651994
24, -0.361268
10, -0.541586
11, 0.439650
12, 0.617285
13, 0.221013
14, -0.557778
15, 0.453989
16, 0.420333
17, 0.868697
18, 1.017593
19, 0.268744
20, -0.034349
21, 0.036935
22, -0.649348
23, -0.651205
24, -0.361203
10, -0.542475
11, 0.439772
12, 0.617712
13, 0.222149
14, -0.557909
15, 0.453076
16, 0.420459
17, 0.869135
18, 1.018760
19, 0.268610
20, -0.035309
21, 0.037067
22, -0.648887
23, -0.649978
24, -0.361344
10, -0.543915
11, 0.439689
12, 0.617710
13, 0.222092
14, -0.558176
15, 0.451434
16, 0.420364
17, 0.869133
18, 1.018695
19, 0.268305
20, -0.036414
21, 0.037003
22, -0.648889
23, -0.650022
24, -0.361549
10, -0.543942
11, 0.439294
12, 0.617510
13, 0.221867
14, -0.558216
15, 0.451401
16, 0.419892
17, 0.868894
18, 1.018426
19, 0.268258
20, -0.036337
21, 0.038130
22, -0.648318
23, -0.649381
24, -0.361436
10, -0.544542
11, 0.439508
12, 0.618220
13, 0.224083
14, -0.558323
15, 0.450986
16, 0.420041
17, 0.869386
18, 1.019962
19, 0.268184
20, -0.036843
21, 0.038311
22, -0.647719
23, -0.647513
24, -0.361526
10, -0.545627
11, 0.439349
12, 0.618201
13, 0.223593
14, -0.558452
15, 0.450098
16, 0.419910
17, 0.869371
18, 1.019560
19, 0.268078
20, -0.037769
21, 0.038175
22, -0.647735
23, -0.647932
24, -0.361636
10, -0.545606
11, 0.439432
12, 0.618250
13, 0.223639
14, -0.558457
15, 0.450224
16, 0.420423
17, 0.869670
18, 1.019842
19, 0.268048
20, -0.038076
21, 0.036917
22, -0.648469
23, -0.648621
24, -0.361560
10, -0.546267
11, 0.439591
12, 0.619008
13, 0.225474
14, -0.558558
15, 0.449638
16, 0.420564
17, 0.870342
18, 1.021469
19, 0.267957
20, -0.038791
21, 0.037089
22, -0.647649
23, -0.646635
24, -0.361671
10, -0.547276
11, 0.439077
12, 0.618464
13, 0.223779
14, -0.558683
15, 0.448592
16, 0.420031
17, 0.869778
18, 1.019712
19, 0.267828
20, -0.040476
21, 0.036229
22, -0.648557
23, -0.649465
24, -0.361879
10, -0.547316
11, 0.438581
12, 0.618105
13, 0.223385
14, -0.558713
15, 0.448605
16, 0.420187
17, 0.869891
18, 1.019837
19, 0.267837
20, -0.040403
21, 0.037129
22, -0.647907
23, -0.648750
24, -0.361826
10, -0.547729
11, 0.438797
12, 0.618516
13, 0.223931
14, -0.558999
15, 0.448006
16, 0.420500
17, 0.870485
18, 1.020628
19, 0.267423
20, -0.040909
21, 0.037393
22, -0.647405
23, -0.648082
24, -0.362176
10, -0.548927
11, 0.438616
12, 0.618449
13, 0.223488
14, -0.559151
15, 0.446541
16, 0.420279
17, 0.870404
18, 1.020086
19, 0.267237
20, -0.042425
21, 0.037165
22, -0.647490
23, -0.648642
24, -0.362368
10, -0.548876
11, 0.438918
12, 0.618687
13, 0.223730
14, -0.559156
15, 0.446546
16, 0.420309
17, 0.870427
18, 1.020110
19, 0.267236
20, -0.042534
21, 0.036519
22, -0.647999
23, -0.649159
24, -0.362357
10, -0.549281
11, 0.439219
12, 0.619449
13, 0.225136
14, -0.559352
15, 0.446196
16, 0.420568
17, 0.871085
18, 1.021325
19, 0.267067
20, -0.042911
21, 0.036798
22, -0.647291
23, -0.647852
24, -0.362540
10, -0.550257
11, 0.438792
12, 0.619169
13, 0.224220
14, -0.559509
15, 0.444970
16, 0.420032
17, 0.870733
18, 1.020173
19, 0.266869
20, -0.044379
21, 0.036156
22, -0.647712
23, -0.649231
24, -0.362777
10, -0.550362
11, 0.438087
12, 0.618581
13, 0.223713
14, -0.559492
15, 0.445051
16, 0.420572
17, 0.871184
18, 1.020562
19, 0.266856
20, -0.044484
21, 0.035458
22, -0.648294
23, -0.649733
24, -0.362759
10, -0.550966
11, 0.438202
12, 0.618751
13, 0.224137
14, -0.559638
15, 0.444379
16, 0.420700
17, 0.871372
18, 1.021034
19, 0.266694
20, -0.045057
21, 0.035566
22, -0.648134
23, -0.649331
24, -0.362897
10, -0.552147
11, 0.438080
12, 0.618729
13, 0.224033
14, -0.559824
15, 0.442607
16, 0.420518
17, 0.871340
18, 1.020878
19, 0.266415
20, -0.046401
21, 0.035428
22, -0.648158
23, -0.649449
24, -0.363109
10, -0.552155
11, 0.437837
12, 0.618513
13, 0.223815
14, -0.559842
15, 0.442573
16, 0.419571
17, 0.870502
18, 1.020032
19, 0.266344
20, -0.046430
21, 0.034608
22, -0.648885
23, -0.650183
24, -0.363170
10, -0.552751
11, 0.437930
12, 0.618582
13, 0.224004
14, -0.560001
15, 0.441895
16, 0.419677
17, 0.870580
18, 1.020247
19, 0.266163
20, -0.046907
21, 0.034682
22, -0.648830
23, -0.650032
24, -0.363298
10, -0.553662
11, 0.437595
12, 0.618295
13, 0.222545
14, -0.560088
15, 0.441154
16, 0.419405
17, 0.870347
18, 1.019060
19, 0.266092
20, -0.047932
21, 0.034305
22, -0.649152
23, -0.651672
24, -0.363396
10, -0.553365
11, 0.438562
12, 0.618859
13, 0.223224
14, -0.560185
15, 0.441425
16, 0.420287
17, 0.870861
18, 1.019680
19, 0.266004
20, -0.047909
21, 0.034381
22, -0.649108
23, -0.651619
24, -0.363403
10, -0.553805
11, 0.438707
12, 0.619136
13, 0.223822
14, -0.560321
15, 0.440954
16, 0.420442
17, 0.871159
18, 1.020321
19, 0.265857
20, -0.048344
21, 0.034525
22, -0.648833
23, -0.651027
24, -0.363539
10, -0.554695
11, 0.438171
12, 0.618493
13, 0.222026
14, -0.560417
15, 0.440147
16, 0.419958
17, 0.870577
18, 1.018694
19, 0.265770
20, -0.049585
21, 0.033778
22, -0.649730
23, -0.653531
24, -0.363672
10, -0.554722
11, 0.437028
12, 0.617613
13, 0.220996
14, -0.560476
15, 0.440164
16, 0.420650
17, 0.871109
18, 1.019317
19, 0.265806
20, -0.049562
21, 0.034736
22, -0.648992
23, -0.652669
24, -0.363623
10, -0.555261
11, 0.437088
12, 0.617636
13, 0.221067
14, -0.560628
15, 0.439518
16, 0.420722
17, 0.871137
18, 1.019402
19, 0.265624
20, -0.049944
21, 0.034779
22, -0.648976
23, -0.652619
24, -0.363730
10, -0.556456
11, 0.437025
12, 0.617609
13, 0.220826
14, -0.560691
15, 0.438224
16, 0.420654
17, 0.871108
18, 1.019141
19, 0.265555
20, -0.051193
21, 0.034714
22, -0.649004
23, -0.652871
24, -0.363797
10, -0.556265
11, 0.437654
12, 0.617858
13, 0.221089
14, -0.560769
15, 0.438505
16, 0.421581
17, 0.871475
18, 1.019528
19, 0.265441
20, -0.051443
21, 0.033890
22, -0.649330
23, -0.653216
24, -0.363696
10, -0.556539
11, 0.437795
12, 0.618218
13, 0.221589
14, -0.560923
15, 0.438130
16, 0.421774
17, 0.871969
18, 1.020214
19, 0.265230
20, -0.051797
21, 0.034073
22, -0.648865
23, -0.652568
24, -0.363896
10, -0.557479
11, 0.437573
12, 0.618179
13, 0.221291
14, -0.561045
15, 0.437327
16, 0.421584
17, 0.871935
18, 1.019959
19, 0.265126
20, -0.052396
21, 0.033931
22, -0.648889
23, -0.652758
24, -0.363973
10, -0.557385
11, 0.436870
12, 0.617848
13, 0.220879
14, -0.561166
15, 0.437426
16, 0.420841
17, 0.871585
18, 1.019524
19, 0.264997
20, -0.052460
21, 0.034410
22, -0.648664
23, -0.652477
24, -0.363891
10, -0.557673
11, 0.436953
12, 0.618262
13, 0.221478
14, -0.561258
15, 0.437016
16, 0.420960
17, 0.872175
18, 1.020376
19, 0.264867
20, -0.052911
21, 0.034541
22, -0.648015
23, -0.651539
24, -0.364034
10, -0.558655
11, 0.436855
12, 0.618223
13, 0.221149
14, -0.561315
15, 0.436098
16, 0.420869
17, 0.872138
18, 1.020068
19, 0.264813
20, -0.053781
21, 0.034454
22, -0.648050
23, -0.651831
24, -0.364085
10, -0.558622
11, 0.436534
12, 0.618086
13, 0.221009
14, -0.561361
15, 0.436203
16, 0.419851
17, 0.871704
18, 1.019626
19, 0.264669
20, -0.053866
21, 0.035271
22, -0.647701
23, -0.651477
24, -0.363969
10, -0.558874
11, 0.436606
12, 0.618220
13, 0.221193
14, -0.561484
15, 0.435783
16, 0.419971
17, 0.871927
18, 1.019933
19, 0.264465
20, -0.054217
21, 0.035372
22, -0.647515
23, -0.651220
24, -0.364140
10, -0.559791
11, 0.436346
12, 0.617809
13, 0.219762
14, -0.561530
15, 0.434898
16, 0.419720
17, 0.871531
18, 1.018553
19, 0.264421
20, -0.055401
21, 0.035036
22, -0.648045
23, -0.653068
24, -0.364199
10, -0.559488
11, 0.437535
12, 0.618385
13, 0.220541
14, -0.561640
15, 0.435026
16, 0.420221
17, 0.871773
18, 1.018880
19, 0.264374
20, -0.055560
21, 0.034416
22, -0.648346
23, -0.653474
24, -0.364142
10, -0.559700
11, 0.437645
12, 0.618703
13, 0.221565
14, -0.561683
15, 0.434887
16, 0.420293
17, 0.871981
18, 1.019552
19, 0.264346
20, -0.055732
21, 0.034505
22, -0.648087
23, -0.652643
24, -0.364177
10, -0.560592
11, 0.437482
12, 0.618536
13, 0.220705
14, -0.561722
15, 0.434059
16, 0.420142
17, 0.871827
18, 1.018754
19, 0.264310
20, -0.056687
21, 0.034331
22, -0.648266
23, -0.653562
24, -0.364218
10, -0.560742
11, 0.436513
12, 0.617940
13, 0.220361
14, -0.561657
15, 0.434245
16, 0.421345
17, 0.872568
18, 1.019182
19, 0.264230
20, -0.056877
21, 0.033106
22, -0.649020
23, -0.653997
24, -0.364137
10, -0.561081
11, 0.436563
12, 0.617961
13, 0.220434
14, -0.561723
15, 0.433883
16, 0.421399
17, 0.872589
18, 1.019259
19, 0.264159
20, -0.057096
21, 0.033138
22, -0.649007
23, -0.653951
24, -0.364179
10, -0.561928
11, 0.436475
12, 0.617941
13, 0.220246
14, -0.561764
15, 0.433160
16, 0.421324
17, 0.872573
18, 1.019099
19, 0.264124
20, -0.057655
21, 0.033080
22, -0.649019
23, -0.654075
24, -0.364207
10, -0.561843
11, 0.436820
12, 0.618127
13, 0.220425
14, -0.561798
15, 0.433348
16, 0.422089
17, 0.872985
18, 1.019497
19, 0.264050
20, -0.057872
21, 0.032197
22, -0.649495
23, -0.654534
24, -0.364121
10, -0.562040
11, 0.436926
12, 0.618466
13, 0.221036
14, -0.561862
15, 0.433188
16, 0.422175
17, 0.873261
18, 1.019994
19, 0.263997
20, -0.058059
21, 0.032298
22, -0.649173
23, -0.653954
24, -0.364182
10, -0.562625
11, 0.436759
12, 0.618416
13, 0.220533
14, -0.561896
15, 0.432804
16, 0.422065
17, 0.873228
18, 1.019664
19, 0.263975
20, -0.058395
21, 0.032202
22, -0.649202
23, -0.654243
24, -0.364201
10, -0.562626
11, 0.436751
12, 0.618410
13, 0.220527
14, -0.561896
15, 0.432900
16, 0.422580
17, 0.873590
18, 1.019994
19, 0.263943
20, -0.058568
21, 0.031276
22, -0.649852
23, -0.654837
24, -0.364143
10, -0.562832
11, 0.436817
12, 0.618768
13, 0.221004
14, -0.561948
15, 0.432680
16, 0.422652
17, 0.873973
18, 1.020504
19, 0.263886
20, -0.058839
21, 0.031364
22, -0.649379
23, -0.654207
24, -0.364213
10, -0.563833
11, 0.436558
12, 0.618649
13, 0.220647
14, -0.561948
15, 0.431492
16, 0.422344
17, 0.873831
18, 1.020080
19, 0.263887
20, -0.059786
21, 0.031119
22, -0.649492
23, -0.654545
24, -0.364212
10, -0.563834
11, 0.437035
12, 0.619046
13, 0.221013
14, -0.561915
15, 0.431493
16, 0.421638
17, 0.873242
18, 1.019537
19, 0.263838
20, -0.059787
21, 0.031496
22, -0.649177
23, -0.654255
24, -0.364186
10, -0.564021
11, 0.437070
12, 0.619145
13, 0.221129
14, -0.561956
15, 0.431144
16, 0.421703
17, 0.873425
18, 1.019753
19, 0.263762
20, -0.060102
21, 0.031555
22, -0.649012
23, -0.654060
24, -0.364255
10, -0.565055
11, 0.436938
12, 0.619085
13, 0.220998
14, -0.561905
15, 0.429437
16, 0.421486
17, 0.873327
18, 1.019537
19, 0.263847
20, -0.061364
21, 0.031394
22, -0.649084
23, -0.654219
24, -0.364192
10, -0.565060
11, 0.436900
12, 0.619049
13, 0.220964
14, -0.561904
15, 0.429560
16, 0.422415
17, 0.874222
18, 1.020387
19, 0.263823
20, -0.061261
21, 0.032176
22, -0.648332
23, -0.653505
24, -0.364213
10, -0.565231
11, 0.436946
12, 0.619245
13, 0.221391
14, -0.561923
15, 0.429419
16, 0.422453
17, 0.874384
18, 1.020740
19, 0.263807
20, -0.061438
21, 0.032224
22, -0.648128
23, -0.653061
24, -0.364232
10, -0.566103
11, 0.436610
12, 0.618779
13, 0.220260
14, -0.561916
15, 0.428473
16, 0.422089
17, 0.873878
18, 1.019513
19, 0.263814
20, -0.062534
21, 0.031802
22, -0.648714
23, -0.654482
24, -0.364224
10, -0.566095
11, 0.436643
12, 0.618794
13, 0.220272
14, -0.561919
15, 0.428698
16, 0.423005
17, 0.874292
18, 1.019857
19, 0.263722
20, -0.062835
21, 0.030575
22, -0.649268
23, -0.654942
24, -0.364100
10, -0.566296
11, 0.436667
12, 0.618818
13, 0.220328
14, -0.561924
15, 0.428425
16, 0.423038
17, 0.874324
18, 1.019932
19, 0.263715
20, -0.063045
21, 0.030600
22, -0.649243
23, -0.654885
24, -0.364105
10, -0.566921
11, 0.436553
12, 0.618658
13, 0.219324
14, -0.561927
15, 0.427928
16, 0.422947
17, 0.874197
18, 1.019134
19, 0.263712
20, -0.063633
21, 0.030492
22, -0.649393
23, -0.655829
24, -0.364108
10, -0.566814
11, 0.437578
12, 0.619452
13, 0.220244
14, -0.561927
15, 0.427866
16, 0.422353
17, 0.873738
18, 1.018601
19, 0.263712
20, -0.063745
21, 0.029418
22, -0.650224
23, -0.656792
24, -0.364109
10, -0.566988
11, 0.437584
12, 0.619539
13, 0.220355
14, -0.561940
15, 0.427708
16, 0.422358
17, 0.873817
18, 1.018702
19, 0.263700
20, -0.063916
21, 0.029424
22, -0.650139
23, -0.656683
24, -0.364122
10, -0.568046
11, 0.437482
12, 0.619416
13, 0.220037
14, -0.561893
15, 0.426174
16, 0.422211
17, 0.873638
18, 1.018240
19, 0.263768
20, -0.065361
21, 0.029285
22, -0.650306
23, -0.657118
24, -0.364057
10, -0.567898
11, 0.438272
12, 0.620059
13, 0.220752
14, -0.561920
15, 0.426280
16, 0.422777
17, 0.874100
18, 1.018753
19, 0.263749
20, -0.065321
21, 0.029497
22, -0.650134
23, -0.656925
24, -0.364064
10, -0.568011
11, 0.438289
12, 0.620105
13, 0.220935
14, -0.561915
15, 0.426205
16, 0.422789
17, 0.874131
18, 1.018876
19, 0.263752
20, -0.065415
21, 0.029512
22, -0.650095
23, -0.656774
24, -0.364060
10, -0.568856
11, 0.438138
12, 0.620048
13, 0.220653
14, -0.561873
15, 0.425407
16, 0.422646
17, 0.874076
18, 1.018610
19, 0.263792
20, -0.066014
21, 0.029404
22, -0.650136
23, -0.656974
24, -0.364030
10, -0.568692
11, 0.439260
12, 0.621078
13, 0.221843
14, -0.561872
15, 0.425466
16, 0.423047
17, 0.874444
18, 1.019034
19, 0.263792
20, -0.065924
21, 0.030019
22, -0.649572
23, -0.656323
24, -0.364030
10, -0.568875
11, 0.439258
12, 0.621089
13, 0.221871
14, -0.561862
15, 0.425281
16, 0.423045
17, 0.874456
18, 1.019063
19, 0.263803
20, -0.066167
21, 0.030017
22, -0.649556
23, -0.656285
24, -0.364016
10, -0.569858
11, 0.439055
12, 0.620996
13, 0.221671
14, -0.561712
15, 0.423847
16, 0.422748
17, 0.874320
18, 1.018770
19, 0.264022
20, -0.067158
21, 0.029812
22, -0.649650
23, -0.656487
24, -0.363865
10, -0.569875
11, 0.439978
12, 0.621756
13, 0.222326
14, -0.561638
15, 0.423859
16, 0.422110
17, 0.873794
18, 1.018316
19, 0.263970
20, -0.067175
21, 0.030688
22, -0.648928
23, -0.655864
24, -0.363794
10, -0.570044
11, 0.439976
12, 0.621744
13, 0.222321
14, -0.561619
15, 0.423701
16, 0.422108
17, 0.873782
18, 1.018311
19, 0.263988
20, -0.067371
21, 0.030687
22, -0.648942
23, -0.655870
24, -0.363773
10, -0.570405
11, 0.439777
12, 0.621010
13, 0.219234
14, -0.561617
15, 0.423481
16, 0.421987
17, 0.873337
18, 1.016440
19, 0.263989
20, -0.067736
21, 0.030486
22, -0.649683
23, -0.658985
24, -0.363770
10, -0.570309
11, 0.440216
12, 0.621293
13, 0.219524
14, -0.561644
15, 0.423658
16, 0.422790
17, 0.873854
18, 1.016971
19, 0.263940
20, -0.067795
21, 0.030217
22, -0.649856
23, -0.659163
24, -0.363754
10, -0.570515
11, 0.440196
12, 0.621218
13, 0.219435
14, -0.561600
15, 0.423292
16, 0.422755
17, 0.873723
18, 1.016813
19, 0.264018
20, -0.068200
21, 0.030178
22, -0.650002
23, -0.659338
24, -0.363667
10, -0.571509
11, 0.440072
12, 0.621116
13, 0.219138
14, -0.561497
15, 0.422008
16, 0.422596
17, 0.873590
18, 1.016429
19, 0.264150
20, -0.069288
21, 0.030043
22, -0.650114
23, -0.659663
24, -0.363555
10, -0.571245
11, 0.440867
12, 0.621373
13, 0.219462
14, -0.561587
15, 0.422292
16, 0.423451
17, 0.873867
18, 1.016778
19, 0.264054
20, -0.069509
21, 0.029380
22, -0.650329
23, -0.659933
24, -0.363480
10, -0.571360
11, 0.440845
12, 0.621287
13, 0.219234
14, -0.561559
15, 0.422209
16, 0.423435
17, 0.873805
18, 1.016613
19, 0.264074
20, -0.069616
21, 0.029359
22, -0.650408
23, -0.660144
24, -0.363455
10, -0.571964
11, 0.440755
12, 0.621249
13, 0.218945
14, -0.561513
15, 0.421717
16, 0.423362
17, 0.873774
18, 1.016377
19, 0.264112
20, -0.070003
21, 0.029302
22, -0.650433
23, -0.660330
24, -0.363426
10, -0.572013
11, 0.441363
12, 0.621646
13, 0.219265
14, -0.561436
15, 0.421802
16, 0.422311
17, 0.873089
18, 1.015825
19, 0.263977
20, -0.070060
21, 0.029998
22, -0.649979
23, -0.659964
24, -0.363337
10, -0.572155
11, 0.441361
12, 0.621628
13, 0.219221
14, -0.561396
15, 0.421642
16, 0.422309
17, 0.873069
18, 1.015776
19, 0.264022
20, -0.070216
21, 0.029995
22, -0.649998
23, -0.660012
24, -0.363293
10, -0.573009
11, 0.441123
12, 0.621315
13, 0.218394
14, -0.561295
15, 0.420704
16, 0.422048
17, 0.872724
18, 1.014867
19, 0.264133
20, -0.071152
21, 0.029735
22, -0.650342
23, -0.660919
24, -0.363182
10, -0.573076
11, 0.440052
12, 0.620340
13, 0.217704
14, -0.561291
15, 0.420758
16, 0.422916
17, 0.873514
18, 1.015427
19, 0.264129
20, -0.071185
21, 0.029209
22, -0.650820
23, -0.661257
24, -0.363180
10, -0.573236
11, 0.440014
12, 0.620259
13, 0.217526
14, -0.561215
15, 0.420593
16, 0.422877
17, 0.873431
18, 1.015244
19, 0.264208
20, -0.071344
21, 0.029172
22, -0.650901
23, -0.661433
24, -0.363105
10, -0.574117
11, 0.439732
12, 0.619483
13, 0.216149
14, -0.561116
15, 0.419430
16, 0.422504
17, 0.872406
18, 1.013426
19, 0.264338
20, -0.072739
21, 0.028724
22, -0.652130
23, -0.663614
24, -0.362948
10, -0.574124
11, 0.439405
12, 0.619180
13, 0.215837
14, -0.561139
15, 0.419432
16, 0.422608
17, 0.872502
18, 1.013526
19, 0.264346
20, -0.072739
21, 0.028739
22, -0.652117
23, -0.663600
24, -0.362947
10, -0.574217
11, 0.439396
12, 0.619173
13, 0.215809
14, -0.561042
15, 0.419334
16, 0.422599
17, 0.872494
18, 1.013497
19, 0.264448
20, -0.072803
21, 0.028732
22, -0.652122
23, -0.663618
24, -0.362880
10, -0.574598
11, 0.439134
12, 0.618633
13, 0.213322
14, -0.561014
15, 0.419111
16, 0.422446
17, 0.872179
