jk,wjk
15, 0.203382
1, -0.146328
2, -0.646016
3, -0.386624
4, 0.267833
5, 0.645251
6, -0.585550
7, -0.707725
8, 0.485311
9, -0.844090
10, 0.073099
11, 0.647724
12, -0.762053
13, 0.264027
14, -0.896111
15, 0.204735
1, -0.149714
2, -0.643519
3, -0.392203
4, 0.267525
5, 0.645478
6, -0.586058
7, -0.708260
8, 0.485706
9, -0.844972
10, 0.072061
11, 0.648490
12, -0.763764
13, 0.258389
14, -0.891953
15, 0.195446
1, -0.148542
2, -0.643034
3, -0.392411
4, 0.271280
5, 0.647033
6, -0.586725
7, -0.704608
8, 0.487219
9, -0.845622
10, 0.075225
11, 0.649800
12, -0.764327
13, 0.258655
14, -0.891843
15, 0.195398
1, -0.148898
2, -0.645429
3, -0.391592
4, 0.270778
5, 0.643653
6, -0.585568
7, -0.705260
8, 0.482831
9, -0.844120
10, 0.074596
11, 0.645567
12, -0.762877
13, 0.258271
14, -0.894429
15, 0.196284
1, -0.152968
2, -0.642688
3, -0.398236
4, 0.270462
5, 0.643866
6, -0.586085
7, -0.705652
8, 0.483096
9, -0.844761
10, 0.073566
11, 0.646260
12, -0.764558
13, 0.252887
14, -0.890804
15, 0.187494
1, -0.151454
2, -0.641971
3, -0.398482
4, 0.274080
5, 0.645582
6, -0.586674
7, -0.702070
8, 0.484795
9, -0.845344
10, 0.076872
11, 0.647828
12, -0.765096
13, 0.253298
14, -0.890610
15, 0.187427
1, -0.151800
2, -0.644077
3, -0.396506
4, 0.273822
5, 0.644014
6, -0.585203
7, -0.702348
8, 0.483098
9, -0.843752
10, 0.076579
11, 0.646049
12, -0.763427
13, 0.252874
14, -0.893192
15, 0.189850
1, -0.155522
2, -0.641069
3, -0.401271
4, 0.273308
5, 0.644430
6, -0.585861
7, -0.703651
8, 0.484151
9, -0.845420
10, 0.074228
11, 0.647949
12, -0.766437
13, 0.247860
14, -0.889139
15, 0.183430
1, -0.153941
2, -0.640267
3, -0.401517
4, 0.276802
5, 0.646201
6, -0.586404
7, -0.700135
8, 0.485934
9, -0.845966
10, 0.077565
11, 0.649641
12, -0.766956
13, 0.248335
14, -0.888898
15, 0.183356
1, -0.154130
2, -0.642006
3, -0.399959
4, 0.276527
5, 0.643677
6, -0.584143
7, -0.700356
8, 0.483908
9, -0.844151
10, 0.077383
11, 0.647977
12, -0.765465
13, 0.248156
14, -0.890542
15, 0.184829
1, -0.157832
2, -0.639269
3, -0.405617
4, 0.276193
5, 0.643924
6, -0.584653
7, -0.701000
8, 0.484384
9, -0.845135
10, 0.075880
11, 0.649089
12, -0.767764
13, 0.243348
14, -0.886987
15, 0.177481
1, -0.155708
2, -0.637752
3, -0.406020
4, 0.279522
5, 0.646300
6, -0.585285
7, -0.697854
8, 0.486629
9, -0.845732
10, 0.078896
11, 0.651242
12, -0.768336
13, 0.243957
14, -0.886552
15, 0.177365
1, -0.155913
2, -0.640453
3, -0.403573
4, 0.279363
5, 0.644211
6, -0.583392
7, -0.697975
8, 0.485030
9, -0.844283
10, 0.078752
11, 0.649344
12, -0.766615
13, 0.243775
14, -0.888958
15, 0.179546
1, -0.158771
2, -0.638259
3, -0.408563
4, 0.279138
5, 0.644384
6, -0.583785
7, -0.698286
8, 0.485268
9, -0.844824
10, 0.078105
11, 0.649840
12, -0.767745
13, 0.239416
14, -0.885612
15, 0.171937
1, -0.157234
2, -0.637402
3, -0.408803
4, 0.282396
5, 0.646198
6, -0.584294
7, -0.694976
8, 0.487112
9, -0.845342
10, 0.081334
11, 0.651639
12, -0.768250
13, 0.239888
14, -0.885350
15, 0.171864
1, -0.157316
2, -0.639503
3, -0.406403
4, 0.282322
5, 0.644314
6, -0.582141
7, -0.695021
8, 0.485940
9, -0.844003
10, 0.081286
11, 0.650417
12, -0.766854
13, 0.239814
14, -0.887247
15, 0.174032
1, -0.160532
2, -0.637077
3, -0.411716
4, 0.282032
5, 0.644533
6, -0.582620
7, -0.695409
8, 0.486232
9, -0.844643
10, 0.080348
11, 0.651124
12, -0.768403
13, 0.235697
14, -0.884143
15, 0.167231
1, -0.159486
2, -0.636478
3, -0.411943
4, 0.285115
5, 0.646299
6, -0.583290
7, -0.692350
8, 0.487985
9, -0.845308
10, 0.083141
11, 0.652724
12, -0.769010
13, 0.235985
14, -0.883978
15, 0.167168
1, -0.159533
2, -0.639235
3, -0.410548
4, 0.285069
5, 0.643567
6, -0.581907
7, -0.692411
8, 0.484356
9, -0.843471
10, 0.083080
11, 0.649063
12, -0.767157
13, 0.235934
14, -0.887002
15, 0.168699
1, -0.162254
2, -0.637093
3, -0.415114
4, 0.284823
5, 0.643761
6, -0.582320
7, -0.692815
8, 0.484674
9, -0.844149
10, 0.082241
11, 0.649723
12, -0.768564
13, 0.232111
14, -0.883994
15, 0.162284
1, -0.160895
2, -0.635754
3, -0.415697
4, 0.287702
5, 0.646598
6, -0.583553
7, -0.690462
8, 0.486992
9, -0.845156
10, 0.084222
11, 0.651675
12, -0.769412
13, 0.232507
14, -0.883604
15, 0.162115
1, -0.160867
2, -0.638217
3, -0.413309
4, 0.287726
5, 0.644461
6, -0.581482
7, -0.690443
8, 0.485332
9, -0.843547
10, 0.084242
11, 0.649854
12, -0.767648
13, 0.232532
14, -0.885828
15, 0.164270
1, -0.162720
2, -0.636504
3, -0.416518
4, 0.287388
5, 0.644774
6, -0.582068
7, -0.690787
8, 0.485649
9, -0.844142
10, 0.083757
11, 0.650303
12, -0.768488
13, 0.229425
14, -0.882956
15, 0.158890
1, -0.161336
2, -0.635414
3, -0.416858
4, 0.290183
5, 0.646975
6, -0.582754
7, -0.688068
8, 0.487790
9, -0.844810
10, 0.086303
11, 0.652308
12, -0.769113
13, 0.229818
14, -0.882646
15, 0.158794
1, -0.161295
2, -0.637767
3, -0.415267
4, 0.290228
5, 0.644417
6, -0.581025
7, -0.688016
8, 0.484816
9, -0.842799
10, 0.086354
11, 0.649426
12, -0.767164
13, 0.229862
14, -0.885164
15, 0.160496
1, -0.163601
2, -0.635775
3, -0.418977
4, 0.289860
5, 0.644734
6, -0.581615
7, -0.688446
8, 0.485187
9, -0.843490
10, 0.085580
11, 0.650094
12, -0.768409
13, 0.226745
14, -0.882471
15, 0.155481
1, -0.162231
2, -0.634356
3, -0.419471
4, 0.292443
5, 0.647410
6, -0.582548
7, -0.686068
8, 0.487651
9, -0.844349
10, 0.087753
11, 0.652345
12, -0.769194
13, 0.227239
14, -0.881960
15, 0.155303
1, -0.162112
2, -0.637305
3, -0.417572
4, 0.292535
5, 0.645109
6, -0.581067
7, -0.685954
8, 0.484844
9, -0.842542
10, 0.087878
11, 0.649246
12, -0.767199
13, 0.227362
14, -0.885016
15, 0.157270
1, -0.164039
2, -0.635646
3, -0.421145
4, 0.292355
5, 0.645264
6, -0.581400
7, -0.686118
8, 0.484985
9, -0.842845
10, 0.087563
11, 0.649517
12, -0.767782
13, 0.224462
14, -0.882516
15, 0.151892
1, -0.162599
2, -0.634322
3, -0.421481
4, 0.294873
5, 0.647577
6, -0.581988
7, -0.683576
8, 0.487321
9, -0.843438
10, 0.090045
11, 0.651798
12, -0.768361
13, 0.224946
14, -0.882071
15, 0.151779
1, -0.162447
2, -0.636278
3, -0.419376
4, 0.295006
5, 0.645855
6, -0.580134
7, -0.683437
8, 0.485526
9, -0.841507
10, 0.090181
11, 0.650039
12, -0.766468
13, 0.225126
14, -0.884382
15, 0.154267
1, -0.164192
2, -0.634741
3, -0.422719
4, 0.294858
5, 0.645986
6, -0.580419
7, -0.683532
8, 0.485610
9, -0.841689
10, 0.089993
11, 0.650205
12, -0.766829
13, 0.222511
14, -0.882080
15, 0.149257
1, -0.163364
2, -0.633923
3, -0.423083
4, 0.297204
5, 0.648306
6, -0.581451
7, -0.681349
8, 0.487768
9, -0.842649
10, 0.091839
11, 0.652029
12, -0.767640
13, 0.222756
14, -0.881837
15, 0.149149
1, -0.163309
2, -0.636119
3, -0.422009
4, 0.297284
5, 0.645124
6, -0.579895
7, -0.681259
8, 0.484138
9, -0.840874
10, 0.091925
11, 0.648604
12, -0.765965
13, 0.222806
14, -0.883836
15, 0.150127
1, -0.164988
2, -0.634639
3, -0.425002
4, 0.297082
5, 0.645301
6, -0.580254
7, -0.681467
8, 0.484322
9, -0.841246
10, 0.091545
11, 0.648938
12, -0.766642
13, 0.220366
14, -0.881686
15, 0.145777
1, -0.164072
2, -0.633469
3, -0.425542
4, 0.299275
5, 0.648103
6, -0.581547
7, -0.679569
8, 0.486747
9, -0.842365
10, 0.093124
11, 0.650956
12, -0.767573
13, 0.220668
14, -0.881300
15, 0.145598
1, -0.163778
2, -0.636184
3, -0.422808
4, 0.299481
5, 0.646201
6, -0.579632
7, -0.679408
8, 0.485262
9, -0.840870
10, 0.093331
11, 0.649052
12, -0.765655
13, 0.220930
14, -0.883711
15, 0.148027
1, -0.165200
2, -0.634891
3, -0.425616
4, 0.299377
5, 0.646296
6, -0.579838
7, -0.679457
8, 0.485307
9, -0.840966
10, 0.093231
11, 0.649142
12, -0.765851
13, 0.218768
14, -0.881745
15, 0.143758
1, -0.164376
2, -0.634127
3, -0.425891
4, 0.301466
5, 0.648233
6, -0.580534
7, -0.677381
8, 0.487233
9, -0.841659
10, 0.095202
11, 0.650970
12, -0.766509
13, 0.218949
14, -0.881577
15, 0.143697
1, -0.164277
2, -0.636649
3, -0.424818
4, 0.301586
5, 0.645176
6, -0.579234
7, -0.677226
8, 0.483301
9, -0.839987
10, 0.095354
11, 0.647109
12, -0.764866
13, 0.219051
14, -0.884196
15, 0.144811
1, -0.165522
2, -0.635509
3, -0.426895
4, 0.301366
5, 0.645377
6, -0.579600
7, -0.677487
8, 0.483540
9, -0.840421
10, 0.094974
11, 0.647457
12, -0.765500
13, 0.217079
14, -0.882390
15, 0.141521
1, -0.164849
2, -0.634779
3, -0.427171
4, 0.303252
5, 0.647422
6, -0.580373
7, -0.675557
8, 0.485632
9, -0.841212
10, 0.096790
11, 0.649425
12, -0.766244
13, 0.217359
14, -0.882086
15, 0.141406
1, -0.164508
2, -0.636523
3, -0.424362
4, 0.303495
5, 0.646184
6, -0.578378
7, -0.675414
8, 0.484902
9, -0.840037
10, 0.096951
11, 0.648602
12, -0.764918
13, 0.217697
14, -0.883815
15, 0.144191
1, -0.165640
2, -0.635489
3, -0.426299
4, 0.303348
5, 0.646318
6, -0.578628
7, -0.675668
8, 0.485134
9, -0.840470
10, 0.096572
11, 0.648948
12, -0.765566
13, 0.215785
14, -0.882068
15, 0.140918
1, -0.165039
2, -0.634820
3, -0.426567
4, 0.305106
5, 0.648274
6, -0.579411
7, -0.673910
8, 0.487090
9, -0.841253
10, 0.098220
11, 0.650782
12, -0.766299
13, 0.215947
14, -0.881887
15, 0.140845
1, -0.164733
2, -0.636454
3, -0.424019
4, 0.305379
5, 0.646815
6, -0.577136
7, -0.673765
8, 0.486313
9, -0.840043
10, 0.098363
11, 0.650019
12, -0.765110
13, 0.216242
14, -0.883462
15, 0.143300
1, -0.165631
2, -0.635584
3, -0.425692
4, 0.305252
5, 0.646938
6, -0.577372
7, -0.673897
8, 0.486441
9, -0.840288
10, 0.098181
11, 0.650196
12, -0.765450
13, 0.214623
14, -0.881893
15, 0.140286
1, -0.165011
2, -0.634611
3, -0.426124
4, 0.306873
5, 0.649479
6, -0.578504
7, -0.672399
8, 0.488789
9, -0.841333
10, 0.099474
11, 0.652224
12, -0.766353
13, 0.214794
14, -0.881627
15, 0.140167
1, -0.164908
2, -0.636587
3, -0.425115
4, 0.307033
5, 0.646411
6, -0.576936
7, -0.672204
8, 0.485032
9, -0.839414
10, 0.099654
11, 0.648755
12, -0.764581
13, 0.214901
14, -0.883703
15, 0.141228
1, -0.166246
2, -0.635502
3, -0.427348
4, 0.306903
5, 0.646516
6, -0.577153
7, -0.672369
8, 0.485166
9, -0.839689
10, 0.099251
11, 0.649082
12, -0.765254
13, 0.213272
14, -0.882382
15, 0.138509
1, -0.165736
2, -0.634722
3, -0.427687
4, 0.308363
5, 0.648748
6, -0.578120
7, -0.670952
8, 0.487333
9, -0.840629
10, 0.100523
11, 0.651028
12, -0.766097
13, 0.213411
14, -0.882170
15, 0.138417
1, -0.165400
2, -0.638163
3, -0.426109
4, 0.308604
5, 0.646284
6, -0.576990
7, -0.670607
8, 0.483807
9, -0.839012
10, 0.100905
11, 0.647116
12, -0.764304
13, 0.213760
14, -0.885744
15, 0.140056
1, -0.166325
2, -0.637305
3, -0.428054
4, 0.308533
5, 0.646349
6, -0.577138
7, -0.670641
8, 0.483839
9, -0.839085
10, 0.100830
11, 0.647186
12, -0.764462
13, 0.212473
14, -0.884550
15, 0.137350
1, -0.165936
2, -0.636724
3, -0.428299
4, 0.309827
5, 0.648279
6, -0.577952
7, -0.669329
8, 0.485797
9, -0.839911
10, 0.102081
11, 0.649054
12, -0.765250
13, 0.212599
14, -0.884362
15, 0.137271
1, -0.165750
2, -0.639362
3, -0.427040
4, 0.310030
5, 0.645399
6, -0.576578
7, -0.669067
8, 0.482073
9, -0.838133
10, 0.102342
11, 0.645344
12, -0.763479
13, 0.212795
14, -0.887135
15, 0.138594
1, -0.166712
2, -0.638659
3, -0.428437
4, 0.309875
5, 0.645512
6, -0.576802
7, -0.669261
8, 0.482215
9, -0.838415
10, 0.101987
11, 0.645603
12, -0.763995
13, 0.211553
14, -0.886228
15, 0.136791
1, -0.166440
2, -0.638189
3, -0.428663
4, 0.311008
5, 0.647466
6, -0.577742
7, -0.668111
8, 0.484199
9, -0.839369
10, 0.103043
11, 0.647425
12, -0.764871
13, 0.211657
14, -0.886048
15, 0.136704
1, -0.166196
2, -0.640844
3, -0.427173
4, 0.311243
5, 0.644900
6, -0.576301
7, -0.667807
8, 0.480894
9, -0.837514
10, 0.103353
11, 0.644055
12, -0.762979
13, 0.211917
14, -0.888877
15, 0.138293
1, -0.166974
2, -0.640343
3, -0.428223
4, 0.311107
5, 0.644988
6, -0.576486
7, -0.668026
8, 0.481034
9, -0.837809
10, 0.103011
11, 0.644275
12, -0.763441
13, 0.210814
14, -0.888167
15, 0.136802
1, -0.166488
2, -0.639069
3, -0.428651
4, 0.312132
5, 0.647677
6, -0.577389
7, -0.666987
8, 0.483760
9, -0.838724
10, 0.103998
11, 0.646864
12, -0.764310
13, 0.211020
14, -0.887625
15, 0.136621
1, -0.166245
2, -0.640755
3, -0.426728
4, 0.312432
5, 0.645596
6, -0.575014
7, -0.666741
8, 0.482053
9, -0.836776
10, 0.104213
11, 0.645372
12, -0.762607
13, 0.211264
14, -0.889314
15, 0.138548
1, -0.166708
2, -0.640385
3, -0.427576
4, 0.312356
5, 0.645656
6, -0.575152
7, -0.666835
8, 0.482129
9, -0.836949
10, 0.104093
11, 0.645468
12, -0.762828
13, 0.210403
14, -0.888625
15, 0.136969
1, -0.166185
2, -0.638720
3, -0.428037
4, 0.313262
5, 0.648537
6, -0.575950
7, -0.665919
8, 0.485045
9, -0.837757
10, 0.104989
11, 0.648321
12, -0.763618
13, 0.210601
14, -0.887995
15, 0.136795
1, -0.165887
2, -0.641396
3, -0.426168
4, 0.313562
5, 0.645836
6, -0.574064
7, -0.665630
8, 0.482451
9, -0.835945
10, 0.105292
11, 0.645595
12, -0.761715
13, 0.210859
14, -0.890317
15, 0.138416
1, -0.166503
2, -0.640995
3, -0.427142
4, 0.313490
5, 0.645883
6, -0.574178
7, -0.665738
8, 0.482522
9, -0.836117
10, 0.105076
11, 0.645736
12, -0.762056
13, 0.210063
14, -0.889797
15, 0.137157
1, -0.166173
2, -0.639733
3, -0.427671
4, 0.314251
5, 0.648791
6, -0.575398
7, -0.665014
8, 0.485286
9, -0.837276
10, 0.105727
11, 0.648221
12, -0.763098
13, 0.210183
14, -0.889339
15, 0.136965
1, -0.165920
2, -0.642596
3, -0.426416
4, 0.314497
5, 0.646013
6, -0.574180
7, -0.664677
8, 0.481465
9, -0.835601
10, 0.106072
11, 0.644319
12, -0.761387
13, 0.210454
14, -0.892407
15, 0.138310
1, -0.166266
2, -0.642282
3, -0.427235
4, 0.314463
5, 0.646044
6, -0.574261
7, -0.664704
8, 0.481490
9, -0.835665
10, 0.106025
11, 0.644362
12, -0.761499
13, 0.209915
14, -0.891919
15, 0.137033
1, -0.166113
2, -0.641704
3, -0.427530
4, 0.315043
5, 0.648239
6, -0.575382
7, -0.664135
8, 0.483642
9, -0.836765
10, 0.106530
11, 0.646270
12, -0.762473
13, 0.209954
14, -0.891768
15, 0.136956
1, -0.165954
2, -0.643367
3, -0.426258
4, 0.315275
5, 0.645816
6, -0.573528
7, -0.663854
8, 0.480696
9, -0.834510
10, 0.106774
11, 0.643713
12, -0.760518
13, 0.210146
14, -0.893771
15, 0.138489
1, -0.166337
2, -0.643324
3, -0.426683
4, 0.315197
5, 0.645824
6, -0.573614
7, -0.663944
8, 0.480706
9, -0.834610
10, 0.106626
11, 0.643730
12, -0.760682
13, 0.209647
14, -0.893715
15, 0.137937
1, -0.166095
2, -0.641945
3, -0.427150
4, 0.315680
5, 0.648574
6, -0.574545
7, -0.663467
8, 0.483418
9, -0.835528
10, 0.107082
11, 0.646328
12, -0.761561
13, 0.209717
14, -0.893320
15, 0.137803
1, -0.165921
2, -0.644029
3, -0.425824
4, 0.315918
5, 0.645723
6, -0.572731
7, -0.663211
8, 0.480343
9, -0.833572
10, 0.107321
11, 0.643458
12, -0.759735
13, 0.209878
14, -0.895262
15, 0.139038
1, -0.166163
2, -0.643919
3, -0.426367
4, 0.315896
5, 0.645733
6, -0.572780
7, -0.663239
8, 0.480356
9, -0.833635
10, 0.107251
11, 0.643490
12, -0.759894
13, 0.209589
14, -0.895130
15, 0.138387
1, -0.166054
2, -0.643078
3, -0.426716
4, 0.316205
5, 0.648122
6, -0.573771
7, -0.662924
8, 0.482790
9, -0.834645
10, 0.107550
11, 0.645801
12, -0.760852
13, 0.209633
14, -0.894794
15, 0.138247
1, -0.165913
2, -0.644806
3, -0.425446
4, 0.316436
5, 0.645277
6, -0.571681
7, -0.662695
8, 0.479975
9, -0.832577
10, 0.107749
11, 0.643350
12, -0.759052
13, 0.209756
14, -0.896308
15, 0.139360
1, -0.166044
2, -0.644900
3, -0.425688
4, 0.316423
5, 0.645268
6, -0.571706
7, -0.662722
8, 0.479956
9, -0.832626
10, 0.107700
11, 0.643315
12, -0.759143
13, 0.209577
14, -0.896437
15, 0.139028
1, -0.165918
2, -0.643270
3, -0.426198
4, 0.316660
5, 0.648332
6, -0.572666
7, -0.662479
8, 0.483092
9, -0.833608
10, 0.107935
11, 0.646357
12, -0.760096
13, 0.209633
14, -0.895699
15, 0.138797
1, -0.165714
2, -0.644650
3, -0.424502
4, 0.316973
5, 0.646206
6, -0.570053
7, -0.662245
8, 0.481500
9, -0.831652
10, 0.108122
11, 0.645088
12, -0.758537
13, 0.209822
14, -0.896978
15, 0.140370
1, -0.165724
2, -0.644783
3, -0.424692
4, 0.316972
5, 0.646194
6, -0.570069
7, -0.662246
8, 0.481481
9, -0.831680
10, 0.108119
11, 0.645048
12, -0.758594
13, 0.209809
14, -0.897155
15, 0.140118
1, -0.165710
2, -0.644273
3, -0.425027
4, 0.317044
5, 0.648796
6, -0.571778
7, -0.662179
8, 0.483887
9, -0.833261
10, 0.108170
11, 0.646884
12, -0.759800
13, 0.209813
14, -0.897022
15, 0.140031
1, -0.165505
2, -0.646626
3, -0.423740
4, 0.317285
5, 0.646044
6, -0.570273
7, -0.661893
8, 0.480601
9, -0.831464
10, 0.108453
11, 0.643643
12, -0.758028
13, 0.210014
14, -0.899332
15, 0.141294
1, -0.165476
2, -0.646924
3, -0.423680
4, 0.317289
5, 0.645997
6, -0.570264
7, -0.661884
8, 0.480512
9, -0.831446
10, 0.108464
11, 0.643526
12, -0.758005
13, 0.210065
14, -0.899856
15, 0.141400
1, -0.165497
2, -0.645651
3, -0.424149
4, 0.317244
5, 0.648790
6, -0.571293
7, -0.661929
8, 0.483313
9, -0.832478
10, 0.108420
11, 0.646204
12, -0.758991
13, 0.210058
14, -0.899415
15, 0.141237
1, -0.165365
2, -0.647792
3, -0.423202
4, 0.317424
5, 0.645854
6, -0.569995
7, -0.661701
8, 0.479601
9, -0.830837
10, 0.108641
11, 0.642611
12, -0.757403
13, 0.210194
14, -0.901632
15, 0.142218
1, -0.165120
2, -0.648173
3, -0.422984
4, 0.317447
5, 0.645818
6, -0.569974
7, -0.661669
8, 0.479550
9, -0.830807
10, 0.108719
11, 0.642490
12, -0.757333
13, 0.210492
14, -0.902095
15, 0.142483
1, -0.165183
2, -0.647585
3, -0.423275
4, 0.317212
5, 0.648027
6, -0.571069
7, -0.661907
8, 0.481790
9, -0.831918
10, 0.108494
11, 0.644609
12, -0.758383
13, 0.210469
14, -0.901882
15, 0.142377
1, -0.164958
2, -0.648757
3, -0.421477
4, 0.317525
5, 0.646392
6, -0.568559
7, -0.661701
8, 0.480714
9, -0.830265
10, 0.108656
11, 0.643759
12, -0.757079
13, 0.210690
14, -0.903032
15, 0.144144
1, -0.164611
2, -0.649027
3, -0.421344
4, 0.317543
5, 0.646378
6, -0.568552
7, -0.661679
8, 0.480697
9, -0.830257
10, 0.108707
11, 0.643720
12, -0.757060
13, 0.211178
14, -0.903413
15, 0.144330
1, -0.164717
2, -0.647801
3, -0.421870
4, 0.317285
5, 0.649367
6, -0.569833
7, -0.661933
8, 0.483640
9, -0.831518
10, 0.108474
11, 0.646423
12, -0.758219
13, 0.211137
14, -0.902946
15, 0.144130
1, -0.164250
2, -0.650526
3, -0.419913
4, 0.317591
5, 0.647578
6, -0.568549
7, -0.661544
8, 0.481370
9, -0.829888
10, 0.108938
11, 0.643714
12, -0.756272
13, 0.211605
14, -0.905674
15, 0.146090
1, -0.163863
2, -0.651055
3, -0.419449
4, 0.317636
5, 0.647517
6, -0.568495
7, -0.661495
8, 0.481304
9, -0.829830
10, 0.109031
11, 0.643587
12, -0.756161
13, 0.212123
14, -0.906383
15, 0.146711
1, -0.164012
2, -0.649416
3, -0.420160
4, 0.317316
5, 0.651023
6, -0.570016
7, -0.661791
8, 0.484536
9, -0.831233
10, 0.108765
11, 0.646502
12, -0.757426
13, 0.212072
14, -0.905825
15, 0.146469
1, -0.163674
2, -0.651490
3, -0.418062
4, 0.317612
5, 0.649211
6, -0.568184
7, -0.661497
8, 0.482742
9, -0.829418
10, 0.109077
11, 0.644591
12, -0.755493
13, 0.212408
14, -0.907879
15, 0.148547
1, -0.163132
2, -0.651910
3, -0.417590
4, 0.317644
5, 0.649186
6, -0.568156
7, -0.661480
8, 0.482728
9, -0.829403
10, 0.109119
11, 0.644559
12, -0.755457
13, 0.213125
14, -0.908435
15, 0.149172
1, -0.163236
2, -0.651359
3, -0.417934
4, 0.317134
5, 0.651870
6, -0.569836
7, -0.661973
8, 0.485318
